#,Bit Range,Private Key Range,Private Key (HEX),Bitcoin Address,% of the Range,Solved,Solver
22,221...222-1,200000...3fffff,,1CfZWK1QTQE3eS9qn61dQjV89KDjZzfNcv,,,
23,222...223-1,400000...7fffff,,1L2GM8eE7mJWLdo3HZS6su1832NX2txaac,,,
23,222...223-1,400000...7fffff,,1L2GM8eE7mJWLdo3HZS6su1832NX2txaac,,,
23,222...223-1,400000...7fffff,,1L2GM8eE7mJWLdo3HZS6su1832NX2txaac,,,
23,222...223-1,400000...7fffff,,1L2GM8eE7mJWLdo3HZS6su1832NX2txaac,,,
24,223...224-1,800000...ffffff,,1rSnXMr63jdCuegJFuidJqWxUPV7AtUf7,,,
24,223...224-1,800000...ffffff,,1rSnXMr63jdCuegJFuidJqWxUPV7AtUf7,,,
24,223...224-1,800000...ffffff,,1rSnXMr63jdCuegJFuidJqWxUPV7AtUf7,,,
24,223...224-1,800000...ffffff,,1rSnXMr63jdCuegJFuidJqWxUPV7AtUf7,,,
25,224...225-1,1000000...1ffffff,,15JhYXn6Mx3oF4Y7PcTAv2wVVAuCFFQNiP,,,
25,224...225-1,1000000...1ffffff,,15JhYXn6Mx3oF4Y7PcTAv2wVVAuCFFQNiP,,,
25,224...225-1,1000000...1ffffff,,15JhYXn6Mx3oF4Y7PcTAv2wVVAuCFFQNiP,,,
25,224...225-1,1000000...1ffffff,,15JhYXn6Mx3oF4Y7PcTAv2wVVAuCFFQNiP,,,
26,225...226-1,2000000...3ffffff,,1JVnST957hGztonaWK6FougdtjxzHzRMMg,,,
26,225...226-1,2000000...3ffffff,,1JVnST957hGztonaWK6FougdtjxzHzRMMg,,,
26,225...226-1,2000000...3ffffff,,1JVnST957hGztonaWK6FougdtjxzHzRMMg,,,
26,225...226-1,2000000...3ffffff,,1JVnST957hGztonaWK6FougdtjxzHzRMMg,,,
27,226...227-1,4000000...7ffffff,,128z5d7nN7PkCuX5qoA4Ys6pmxUYnEy86k,,,
27,226...227-1,4000000...7ffffff,,128z5d7nN7PkCuX5qoA4Ys6pmxUYnEy86k,,,
27,226...227-1,4000000...7ffffff,,128z5d7nN7PkCuX5qoA4Ys6pmxUYnEy86k,,,
27,226...227-1,4000000...7ffffff,,128z5d7nN7PkCuX5qoA4Ys6pmxUYnEy86k,,,
28,227...228-1,8000000...fffffff,,12jbtzBb54r97TCwW3G1gCFoumpckRAPdY,,,
28,227...228-1,8000000...fffffff,,12jbtzBb54r97TCwW3G1gCFoumpckRAPdY,,,
28,227...228-1,8000000...fffffff,,12jbtzBb54r97TCwW3G1gCFoumpckRAPdY,,,
28,227...228-1,8000000...fffffff,,12jbtzBb54r97TCwW3G1gCFoumpckRAPdY,,,
29,228...229-1,10000000...1fffffff,,19EEC52krRUK1RkUAEZmQdjTyHT7Gp1TYT,,,
29,228...229-1,10000000...1fffffff,,19EEC52krRUK1RkUAEZmQdjTyHT7Gp1TYT,,,
29,228...229-1,10000000...1fffffff,,19EEC52krRUK1RkUAEZmQdjTyHT7Gp1TYT,,,
29,228...229-1,10000000...1fffffff,,19EEC52krRUK1RkUAEZmQdjTyHT7Gp1TYT,,,
3,22...23-1,4...7,,19ZewH8Kk1PDbSNdJ97FP4EiCjTRaZMZQA,,,
3,22...23-1,4...7,,19ZewH8Kk1PDbSNdJ97FP4EiCjTRaZMZQA,,,
3,22...23-1,4...7,,19ZewH8Kk1PDbSNdJ97FP4EiCjTRaZMZQA,,,
3,22...23-1,4...7,,19ZewH8Kk1PDbSNdJ97FP4EiCjTRaZMZQA,,,
30,229...230-1,20000000...3fffffff,,1LHtnpd8nU5VHEMkG2TMYYNUjjLc992bps,,,
30,229...230-1,20000000...3fffffff,,1LHtnpd8nU5VHEMkG2TMYYNUjjLc992bps,,,
30,229...230-1,20000000...3fffffff,,1LHtnpd8nU5VHEMkG2TMYYNUjjLc992bps,,,
30,229...230-1,20000000...3fffffff,,1LHtnpd8nU5VHEMkG2TMYYNUjjLc992bps,,,
31,230...231-1,40000000...7fffffff,,1LhE6sCTuGae42Axu1L1ZB7L96yi9irEBE,,,
31,230...231-1,40000000...7fffffff,,1LhE6sCTuGae42Axu1L1ZB7L96yi9irEBE,,,
31,230...231-1,40000000...7fffffff,,1LhE6sCTuGae42Axu1L1ZB7L96yi9irEBE,,,
31,230...231-1,40000000...7fffffff,,1LhE6sCTuGae42Axu1L1ZB7L96yi9irEBE,,,
32,231...232-1,80000000...ffffffff,,1FRoHA9xewq7DjrZ1psWJVeTer8gHRqEvR,,,
32,231...232-1,80000000...ffffffff,,1FRoHA9xewq7DjrZ1psWJVeTer8gHRqEvR,,,
32,231...232-1,80000000...ffffffff,,1FRoHA9xewq7DjrZ1psWJVeTer8gHRqEvR,,,
32,231...232-1,80000000...ffffffff,,1FRoHA9xewq7DjrZ1psWJVeTer8gHRqEvR,,,
33,232...233-1,100000000...1ffffffff,,187swFMjz1G54ycVU56B7jZFHFTNVQFDiu,,,
33,232...233-1,100000000...1ffffffff,,187swFMjz1G54ycVU56B7jZFHFTNVQFDiu,,,
33,232...233-1,100000000...1ffffffff,,187swFMjz1G54ycVU56B7jZFHFTNVQFDiu,,,
33,232...233-1,100000000...1ffffffff,,187swFMjz1G54ycVU56B7jZFHFTNVQFDiu,,,
34,233...234-1,200000000...3ffffffff,,1PWABE7oUahG2AFFQhhvViQovnCr4rEv7Q,,,
34,233...234-1,200000000...3ffffffff,,1PWABE7oUahG2AFFQhhvViQovnCr4rEv7Q,,,
34,233...234-1,200000000...3ffffffff,,1PWABE7oUahG2AFFQhhvViQovnCr4rEv7Q,,,
34,233...234-1,200000000...3ffffffff,,1PWABE7oUahG2AFFQhhvViQovnCr4rEv7Q,,,
35,234...235-1,400000000...7ffffffff,,1PWCx5fovoEaoBowAvF5k91m2Xat9bMgwb,,,
35,234...235-1,400000000...7ffffffff,,1PWCx5fovoEaoBowAvF5k91m2Xat9bMgwb,,,
35,234...235-1,400000000...7ffffffff,,1PWCx5fovoEaoBowAvF5k91m2Xat9bMgwb,,,
35,234...235-1,400000000...7ffffffff,,1PWCx5fovoEaoBowAvF5k91m2Xat9bMgwb,,,
36,235...236-1,800000000...fffffffff,,1Be2UF9NLfyLFbtm3TCbmuocc9N1Kduci1,,,
36,235...236-1,800000000...fffffffff,,1Be2UF9NLfyLFbtm3TCbmuocc9N1Kduci1,,,
36,235...236-1,800000000...fffffffff,,1Be2UF9NLfyLFbtm3TCbmuocc9N1Kduci1,,,
36,235...236-1,800000000...fffffffff,,1Be2UF9NLfyLFbtm3TCbmuocc9N1Kduci1,,,
37,236...237-1,1000000000...1fffffffff,,14iXhn8bGajVWegZHJ18vJLHhntcpL4dex,,,
37,236...237-1,1000000000...1fffffffff,,14iXhn8bGajVWegZHJ18vJLHhntcpL4dex,,,
37,236...237-1,1000000000...1fffffffff,,14iXhn8bGajVWegZHJ18vJLHhntcpL4dex,,,
37,236...237-1,1000000000...1fffffffff,,14iXhn8bGajVWegZHJ18vJLHhntcpL4dex,,,
38,237...238-1,2000000000...3fffffffff,,1HBtApAFA9B2YZw3G2YKSMCtb3dVnjuNe2,,,
38,237...238-1,2000000000...3fffffffff,,1HBtApAFA9B2YZw3G2YKSMCtb3dVnjuNe2,,,
38,237...238-1,2000000000...3fffffffff,,1HBtApAFA9B2YZw3G2YKSMCtb3dVnjuNe2,,,
38,237...238-1,2000000000...3fffffffff,,1HBtApAFA9B2YZw3G2YKSMCtb3dVnjuNe2,,,
39,238...239-1,4000000000...7fffffffff,,122AJhKLEfkFBaGAd84pLp1kfE7xK3GdT8,,,
